TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE
t_adoptionapply,apply_id,varchar,50,NULL,NULL,NO
t_adoptionapply,pet_id,varchar,50,NULL,NULL,NO
t_adoptionapply,user_id,varchar,50,NULL,NULL,NO
t_adoptionapply,status,int,NULL,10,0,NO
t_adoptionapply,content,varchar,500,NULL,NULL,YES
t_animal,pet_id,varchar,50,NULL,NULL,NO
t_animal,name,varchar,50,NULL,NULL,NO
t_animal,breed,varchar,50,NULL,NULL,YES
t_animal,vector,text,65535,NULL,NULL,YES
t_animal,status,int,NULL,10,0,YES
t_donation,donation_id,varchar,50,NULL,NULL,NO
t_donation,amount,decimal,NULL,10,2,NO
t_donation,target_pet_id,varchar,50,NULL,NULL,YES
t_notice,notice_id,varchar,50,NULL,NULL,NO
t_notice,title,varchar,100,NULL,NULL,NO
t_notice,content,text,65535,NULL,NULL,YES
t_post,post_id,varchar,50,NULL,NULL,NO
t_post,content,text,65535,NULL,NULL,YES
t_post,like_count,int,NULL,10,0,YES
t_reimbursement,reimb_id,varchar,50,NULL,NULL,NO
t_reimbursement,amount,decimal,NULL,10,2,NO
t_reimbursement,status,int,NULL,10,0,YES
t_rescuerecord,record_id,varchar,50,NULL,NULL,NO
t_rescuerecord,location,varchar,255,NULL,NULL,YES
t_rescuerecord,description,varchar,500,NULL,NULL,YES
t_user,user_id,varchar,50,NULL,NULL,NO
t_user,nickname,varchar,50,NULL,NULL,NO
t_user,avatarURL,varchar,255,NULL,NULL,YES
t_user,role,int,NULL,10,0,NO
t_user,points,int,NULL,10,0,YES
t_user,identityNo,varchar,20,NULL,NULL,YES
t_user,level,int,NULL,10,0,YES
